市街,town area / city,"The town is congested with traffic in the evening."
粉,powder,"That white powder is baby formula."
小麦,wheat,"Wheat is used in various foods."
小麦粉,wheat flour,"Udon is made from wheat flour."
大麦,barley,"Barley is used as a raw material for beer."
炊事,cooking,"In our household, even my husband does the cooking."
暦,calendar,"According to the calendar, winter starts today."
皮,skin / peel,"I peeled the apple."
毛皮,fur,"She was wearing a fur coat."
毛糸,wool yarn,"She knitted a wool sweater."
尾,tail,"A bird with a long tail is flying."
インフレーション,inflation,"The market is being affected by inflation."
白髪,gray hair,"My grandfather has little gray hair."
耳鼻科,"ear, nose, and throat clinic","I'm currently seeing an ENT specialist."
唇,lips,"The cold made my lips turn blue."
解釈,interpretation,"Let's try interpreting this poem."
居間,living room,"My father is watching TV in the living room."
一層,even more,"The rain has become even heavier."
ウィークエンド,weekend,"This weekend, I'm going to watch a movie."
高層,high-rise,"There are more high-rise buildings in this area now."
覆う,to cover,"Clouds are covering the sky."
戸籍,family register,"When you marry, a new family register is created."
ガラス戸,glass door,"The shop's glass door was broken."
新鮮,fresh,"You can buy fresh vegetables at this store."
鮮やか,vivid,"The mountain was a vivid green."
群集,crowd,"A crowd of hundreds has gathered."
郡,district,"This district will become a city next year."
君,you,"I'll give this book to you."
脂,fat,"This meat has a lot of fat."
脂肪,fat,"I want to get rid of the fat on my stomach."
胃腸,stomach and intestines,"He doesn't have a strong stomach."
肝心,essential / crucial,"The beginning is crucial for everything."
山脈,mountain range,"I saw a magnificent mountain range from the train window."
暮らす,to live,"I want to live near the sea in the future."
暮らし,life / living,"She enjoys her daily life."
暮れ,end of the year,"The year-end is busy with many tasks."
暮れる,to get dark,"Let's return before it gets dark."
お歳暮,year-end gift,"I sent a year-end gift from the department store."
芝生,lawn,"The lawn is well-maintained."
茎,stem,"Tulips have long stems."
推薦,recommendation,"He was recommended for the president's position."
荒れる,to be stormy / to be rough,"The mountain and sea are stormy due to the typhoon."
荒い,rough / wild,"Our dog has a rough temperament."
荒す,to devastate / to ruin,"His house was ransacked by robbers."
慌ただしい,hurried / busy,"Today was a very busy day."
慌てる,to panic / to hurry,"Why are you rushing so much?"
儀式,ceremony,"Ceremonies have specific manners."
行儀,manners / behavior,"This child has very good manners."
犠牲,sacrifice / victim,"Many people fell victim to the disaster."
赤ん坊,baby,"At that time, he was still a baby."
お坊さん,Buddhist monk,"A monk came out of the temple."
国旗,national flag,"The Japanese flag is easy to draw."
筋肉,muscle,"He has been building his muscles recently."
筋道,logic / reasoning,"Think with proper reasoning."
筋,tendon / logic,"I hurt my tendon when I fell."
裂ける,to tear / to split,"I tore my sleeve by catching it on a nail."
座布団,cushion,"This cushion is very comfortable to sit on."
自己,self / oneself,"From now on, act based on your own judgment."
抱える,to carry / to hold,"He is carrying a large package."
抱く,to hold / to embrace,"Grandma is holding our cat."
句,phrase / clause,"What does this phrase mean?"
慣用句,idiom,"'Hands are free' is an idiom."
かかと,heel,"I accidentally stepped on his foot with the heel of my shoe."
下旬,late in the month,"This job will be finished by the end of next month."
上旬,early in the month,"There is a summer festival in early July."
飽きる,to get tired of,"It seems the child is tired of the toy."
飾り,decoration,"This room has too many decorations."
餌,feed / food,"I feed the goldfish every day."
旧,former / old,"The former Soviet Union is now called Russia."
育児,childcare,"She is busy with childcare."
がさがさ,rustling,"There was a rustling sound at the entrance."
小児科,pediatrics,"I'm taking my child to a pediatrician."
姓名,full name,"Please tell me your full name."
姓,surname,"I changed my surname after marriage."
幼い,young / childish,"She has a young son."
眼科,ophthalmology,"I had my vision checked at the ophthalmologist."
近眼,nearsightedness,"She is nearsighted."
居眠り,dozing,"He is dozing on the sofa."
一瞬,instant,"For a moment, I doubted my own ears."
かじる,to bite / to nibble,"My younger brother was happily nibbling an apple."
瞬間,moment,"At that moment, a cat jumped out."
睡眠,sleep,"I try to get 7 hours of sleep a day."
垂直,vertical,"They started climbing the vertical cliff."
心掛ける,to keep in mind,"Please keep safe driving in mind."
腰掛ける,to sit down,"I sat down on a bench."
追い掛ける,to chase,"A police car is chasing the motorbike."
腰掛け,seat / bench,"Is there a seat available?"
がぶがぶ,gulping,"He was gulping water."
お目に掛かる,to meet (humble),"I'm pleased to meet you."
拝む,to pray,"I prayed with hands together in front of the Buddha statue."
括弧,parentheses,"You can omit the part in parentheses."
指揮,direction / command,"He took command of the project."
輝く,to shine,"Her eyes are shining with joy."
抑える,to suppress,"He suppressed his anger."
信仰,faith / belief,"Faith is a support for the heart."
からす,crow,"A crow is cawing in the tree."
偶然,coincidence,"I coincidentally met a friend in the city."
偶数,even number,"Even numbers are divisible by two."
隅,corner,"Chairs were stacked in the corner of the room."
城,castle,"This trip, I will tour European castles."
栽培,cultivation,"This region is active in cultivating oranges."
警戒,caution / vigilance,"Be cautious of tsunamis after an earthquake."
伺う,to ask (humble),"I'd like to ask you something."
がん,cancer,"My grandfather passed away from cancer."
後悔,regret,"There's no point in regretting."
悔しい,frustrating / regrettable,"I'm so frustrated that I lost the match."
俺,I / me (informal),"Please listen to my request."
相撲,sumo,"All sumo wrestlers are strong."
偏る,to be biased,"I take care not to have a biased diet."
一遍に,all at once,"In spring, flowers bloom all at once."
宗教,religion,"Many people do not have a religion."
ぎっしり,tightly packed,"This box is tightly packed with items."
審議,deliberation,"The matter is under deliberation."
憲法,constitution,"It's difficult to amend the constitution."
衰える,to decline / weaken,"My physical strength is declining with age."
惜しむ,to grieve / to regret,"We all grieved his death."
惜しい,regrettable / almost,"What a pity, you almost won."
恨み,grudge,"She resolved a long-standing grudge."
恨む,to hold a grudge,"You must not hold a grudge against him."
ぎゅうぎゅう,crammed,"The train is packed tight."
覚悟,preparedness,"I am ready."
怪しい,suspicious,"That man's behavior was suspicious."
怪しむ,to suspect,"The police suspect that group."
自慢,pride / boasting,"She often boasts about her grades."
食卓,dining table,"Let's decorate the dining table with flowers."
歓迎,welcome,"I received a warm welcome."
勧める,to recommend,"I ended up buying something I didn't even want because it was recommended."
ぎょうざ,gyoza,"The gyoza here is delicious."
焦点,focus,"Let's narrow down the focus of the discussion."
焦る,to be in a hurry / to panic,"Why are you in such a hurry?"
焦げる,to burn,"The stew got burnt!"
英雄,hero,"He is a national hero."
雄,male,"Our cat is male."
獲得,acquisition,"That player's prize money is 200 million yen."
収穫,harvest,"The rice harvest has begun."
稲,rice plant,"Japan has many varieties of rice."
きれ,scrap / piece,"Let's make a doll from the leftover fabric."
稼ぐ,to earn,"He seems to have earned a lot of money."
原稿用紙,manuscript paper,"I used manuscript paper to write my essay."
穏やか,calm / peaceful,"They live a peaceful life."
隠す,to hide,"Are you hiding something from me?"
お陰,thanks to,"Thanks to my teacher, I got into college."
陰,shade,"Let's take a break in the shade."
塊,lump / mass,"There was a lump of dirt on the road."
くすぐる,to tickle,"My younger brother tickled the soles of my feet."
卑しい,vulgar / greedy,"He is greedy for money."
砕く,to crush,"Please crush the ice finely."
